"","x"
"1264",-24.98
"1265",-25.35
"1266",-27.21
"1267",-30.1
"1268",-33.13
"1269",-35.84
"1270",-38.62
"1271",-42.11
"1272",-46.44
"1273",-50.73
"1274",-53.11
"1275",-51.37
"1276",-43.93
"1277",-30.58
"1278",-12.65
"1279",7.23
"1280",25.9
"1281",40.34
"1282",48.52
"1283",50.02
"1284",46.23
"1285",39.76
"1286",33.61
"1287",30.02
"1288",29.73
"1289",32.1
"1290",35.66
"1291",39
"1292",41.36
"1293",42.58
"1294",42.81
"1295",42.21
"1296",40.87
"1297",38.83
"1298",36.22
"1299",33.15
"1300",29.53
"1301",24.9
"1302",18.49
"1303",9.54
"1304",-2.25
"1305",-16.38
"1306",-31.73
"1307",-46.76
"1308",-59.92
"1309",-69.84
"1310",-75.44
"1311",-75.93
"1312",-70.87
"1313",-60.33
"1314",-45
"1315",-26.35
"1316",-6.2
"1317",13.77
"1318",32.47
"1319",49.45
"1320",64.21
"1321",75.69
"1322",82.17
"1323",81.82
"1324",73.7
"1325",58.6
"1326",39.02
"1327",18.38
"1328",-0.29
"1329",-15.3
"1330",-26.53
"1331",-34.76
"1332",-40.74
"1333",-44.74
"1334",-46.49
"1335",-45.86
"1336",-43.51
"1337",-40.97
"1338",-40.11
"1339",-42.24
"1340",-47.5
"1341",-54.42
"1342",-60.53
"1343",-62.91
"1344",-59.18
"1345",-48.27
"1346",-30.74
"1347",-8.73
"1348",14.48
"1349",35.25
"1350",50.43
"1351",58.26
"1352",58.78
"1353",53.59
"1354",44.99
"1355",34.92
"1356",24.02
"1357",11.75
"1358",-2.68
"1359",-19.2
"1360",-36.19
"1361",-50.93
"1362",-60.98
"1363",-65.51
"1364",-65.73
"1365",-64.25
"1366",-63.6
"1367",-64.8
"1368",-66.97
"1369",-68.05
"1370",-66.26
"1371",-61.17
"1372",-54.12
"1373",-47.28
"1374",-42.49
"1375",-40.11
"1376",-38.71
"1377",-35.61
"1378",-28.08
"1379",-14.65
"1380",4.32
"1381",26.79
"1382",49.98
"1383",71.43
"1384",89.52
"1385",103.55
"1386",113.28
"1387",118.65
"1388",119.75
"1389",117.03
"1390",111.45
"1391",104.2
"1392",96.17
"1393",87.52
"1394",77.73
"1395",66.19
"1396",52.87
"1397",38.7
"1398",25.17
"1399",13.6
"1400",4.4
"1401",-2.99
"1402",-9.75
"1403",-16.99
"1404",-25.19
"1405",-34.15
"1406",-43.17
"1407",-51.4
"1408",-58.05
"1409",-62.53
"1410",-64.5
"1411",-63.88
"1412",-60.69
"1413",-54.99
"1414",-46.7
"1415",-35.63
"1416",-21.8
"1417",-5.78
"1418",10.99
"1419",26.18
"1420",37.36
"1421",43.08
"1422",43.7
"1423",41.34
"1424",38.89
"1425",38.52
"1426",40.72
"1427",44.31
"1428",47.29
"1429",47.99
"1430",45.7
"1431",40.65
"1432",33.46
"1433",24.63
"1434",14.48
"1435",3.48
"1436",-7.41
"1437",-16.87
"1438",-23.76
"1439",-27.86
"1440",-30.28
"1441",-32.93
"1442",-37.67
"1443",-45.35
"1444",-55.37
"1445",-65.89
"1446",-74.48
"1447",-78.93
"1448",-77.86
"1449",-70.96
"1450",-58.82
"1451",-42.72
"1452",-24.57
"1453",-6.67
"1454",8.66
"1455",20.04
"1456",27.54
"1457",32.62
"1458",37.19
"1459",42.28
"1460",47.18
"1461",49.71
"1462",47.44
"1463",39.29
"1464",26.5
"1465",12.16
"1466",-0.2
"1467",-8.33
"1468",-12.03
"1469",-12.81
"1470",-12.74
"1471",-13.26
"1472",-14.63
"1473",-16.21
"1474",-17.58
"1475",-18.83
"1476",-20.7
"1477",-23.9
"1478",-28.43
"1479",-33.32
"1480",-36.74
"1481",-36.53
"1482",-30.93
"1483",-19.3
"1484",-2.45
"1485",17.2
"1486",36.04
"1487",50.19
"1488",56.77
"1489",55
"1490",46.5
"1491",34.66
"1492",23.05
"1493",14.02
"1494",7.92
"1495",3.48
"1496",-1
"1497",-6.69
"1498",-13.78
"1499",-21.94
"1500",-30.8
"1501",-40.15
"1502",-49.53
"1503",-58.1
"1504",-64.66
"1505",-68
"1506",-67.79
"1507",-64.81
"1508",-60.85
"1509",-57.81
"1510",-56.75
"1511",-57.28
"1512",-57.91
"1513",-56.72
"1514",-52.04
"1515",-42.86
"1516",-28.88
"1517",-10.43
"1518",11.49
"1519",35.11
"1520",57.79
"1521",76.41
"1522",88.58
"1523",93.9
"1524",94.43
"1525",93.8
"1526",95.05
"1527",98.69
"1528",101.97
"1529",100.24
"1530",89.6
